"","VehicleID","Hour","Minute","Second","mmlat","mmlon","base_lat","base_lon","lane_no","fixedlaneNo","fixedlat","fixedlon","fixedKP","kp_dist","incrementCounter","PositionConfidence","Speed","Heading","Acceleration","TransmissionState","VehicleStatusOption.AdaptiveCruiseControlStatus","VehicleStatusOption.CooperativeAdaptiveCruiseControlStatus","VehicleStatusOption.AntilockBrakeSystem","draftLaneNo","draftDs","changed"
"1",4411643,7,45,18.059,35.1165232797712,136.921707196438,35.1165222,136.9216972,2,2,35.1165232797712,136.921707196438,0,3.84923953171214,74,10,17.1,352.2,0.27,2,3,2,"false",2,0.917127122446086,0
"2",4411643,7,45,18.155,35.1165372388047,136.921704942966,35.1165361,136.9216944,2,2,35.1165372388047,136.921704942966,0,3.84767388104858,75,10,17.1,352.2,0.29,2,3,2,"false",2,0.967268352831744,0
"3",4411643,7,45,20.767,35.1169565319953,136.921637254132,35.1169555,136.9216277,2,2,35.1169565319953,136.921637254132,0,3.80064579055304,101,12,18.14,352.6,0.51,2,3,2,"false",2,0.876543005778506,0
"4",4411643,7,45,20.969,35.1169898451773,136.92163187617,35.1169888,136.9216222,2,2,35.1169898451773,136.92163187617,0,3.79690937067519,103,12,18.2,352.7,0.45,2,3,2,"false",2,0.887738966945456,0
"5",4411643,7,45,21.661,35.1171065994064,136.921613156447,35.1171055,136.9216027,2,2,35.1171065994064,136.921613156447,0,3.7838156816812,110,12,18.41,352.5,0.37,2,3,2,"false",2,0.958892324287156,0
"6",4411643,7,45,21.757,35.1171233072401,136.921610530954,35.1171222,136.9216,2,2,35.1171233072401,136.921610530954,0,3.78194256769107,111,12,18.48,352.5,0.35,2,3,2,"false",2,0.965724647122849,0
"7",4411643,7,45,21.87,35.1171426815324,136.921607486448,35.1171416,136.9215972,2,2,35.1171426815324,136.921607486448,0,3.77977051722707,112,12,18.48,352.5,0.34,2,3,2,"false",2,0.943302406660463,0
"8",4411643,7,45,22.264,35.1172091662529,136.921597038927,35.1172083,136.9215888,2,2,35.1172091662529,136.921597038927,0,3.77231692010085,116,12,18.58,352.4,0.26,2,3,2,"false",2,0.755537099218402,0
"9",4411643,7,45,22.36,35.1172231195961,136.921594846273,35.1172222,136.9215861,2,2,35.1172231195961,136.921594846273,0,3.77075261181604,117,12,18.59,352.3,0.24,2,3,2,"false",2,0.802062276609929,0
"10",4411643,7,45,24.158,35.1175321594471,136.921546282986,35.1175305,136.9215305,2,2,35.1175321594471,136.921546282986,0,3.73610617542933,135,12,18.82,352.2,0.1,2,3,2,"false",2,1.44734686792724,0
"11",4411643,7,45,24.357,35.1175682415669,136.921540612928,35.1175666,136.921525,2,2,35.1175682415669,136.921540612928,0,3.73206101131781,137,12,18.76,352.3,0.05,2,3,2,"false",2,1.43175143438149,0
